0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
htx,oti,-11,-13,-2,-3,-1,-6,-10,-2,-10,-2,-3,4,1,-2,-3,-10,-14,4,3,0,-10,8,4,-3,-23,4,-4,-11,0,-9,7,-17,11,-17,-7,-13,-17,4,-2,7,-6,15,-4,-6,-10,-13,4,-2,-6,1,24,2,12,20,13,-1,3,11,5,3,7,-6,-3,4,-13,-6,-7,-8,-7,2,1,7,-17,11,-7,10,-15,7,19,16
mia,nwe,11,8,11,-10,3,0,-17,15,8,1,-9,-13,8,1,4,0,5,2,7,-8,-6,7,-16,-1,7,1,1,8,-13,-11,-3,-13,-11,-5,-9,7,1,8,-8,-10,18,-20,-7,-20,7,0,3,-13,-1,-6,7,-6,1,8,18,2,4,-7,12,-6,10,-10,-23,-7,4,-23,8,1,0,-2,-13,-3,-3,3,10,-7,4,-17,5,12
atl,nor,10,-7,18,-10,19,-9,5,6,15,-4,-8,1,20,5,10,9,7,10,1,3,0,-7,25,10,22,9,12,5,1,8,-6,-3,-3,-10,0,-6,-23,15,-4,0,8,1,25,18,-12,-7,-10,5,26,-2,-3,0,0,2,18,0,2,-3,-2,4,18,15,12,11,9,22,-10,-7,11,12,-3,-6,15,4,4,12,1,-6,15,18
crd,ram,11,8,18,25,0,3,8,0,-4,15,1,7,0,-3,-3,7,-17,-17,5,-20,10,-2,-10,-6,-5,10,17,-16,-2,0,-17,13,15,-15,17,-6,0,-3,4,-20,-2,-1,-20,1,-9,19,-13,3,-2,26,-13,-9,-14,-17,-13,-10,-13,-6,5,8,-4,7,-6,-10,14,9,-14,-20,-23,5,-7,-4,0,-6,8,0,-2,-9,-20,4
den,rai,-13,10,-20,-7,-13,-10,-3,-13,4,7,2,0,-3,7,4,-4,4,-14,-10,-2,-7,0,4,-16,6,-6,11,-3,-2,-3,4,-3,-3,-6,4,11,-11,-8,-6,-20,10,2,-4,-7,-10,-2,15,1,12,9,4,-3,7,-3,7,1,10,-7,-13,3,11,8,5,4,-6,-13,5,12,12,11,-6,0,0,-3,-3,7,-8,-11,-3,11
sdg,kan,-6,-3,-7,-4,-7,5,-2,5,-2,-10,1,8,20,12,-4,4,10,7,-2,-10,8,11,11,12,-1,3,15,-9,4,10,-3,4,-3,0,7,-9,-20,-13,-20,-6,10,-13,-6,-4,-2,-10,6,5,7,4,-6,-4,-3,-6,-4,-9,7,-9,4,-2,3,-13,-9,20,1,-20,-11,-4,10,4,0,-6,-6,-10,11,-9,-13,-20,11,-3
was,nyg,18,-2,-8,3,4,-1,0,8,3,8,19,1,3,-3,4,4,-6,-3,4,-3,-7,-13,8,-3,6,4,0,4,-7,15,11,0,15,1,12,2,1,-2,-7,-4,-4,1,-6,-17,-13,-16,-9,1,4,-10,-1,-7,-2,-3,5,0,-6,-13,4,0,-7,0,-13,1,4,6,-7,-10,-3,-4,7,12,-6,26,12,15,8,1,-3,0
sea,sfo,8,11,1,-20,-13,15,17,-16,-18,-9,3,-8,8,1,8,2,-3,2,-17,-17,3,1,4,-6,14,-5,-20,-14,-11,-13,13,-17,-6,0,7,-10,12,-17,15,-16,-1,-2,-10,18,-6,0,-17,3,1,8,-6,7,-3,0,0,18,-6,11,-7,22,-2,10,-6,1,-5,14,4,23,5,-23,-4,-7,-6,9,-9,1,-13,1,3,-3
gnb,det,15,2,7,4,15,-13,-2,-10,4,-10,1,19,2,24,3,8,9,10,3,-13,-7,7,0,-7,11,4,-9,-6,4,0,-10,-3,-15,15,7,-3,5,-16,4,0,-2,19,-17,-6,-3,-6,5,-10,-7,-10,3,-4,-1,-7,-10,-3,-3,-6,8,5,1,0,-9,-6,4,11,-8,-7,16,12,1,-3,9,-6,12,4,-9,-2,0,4
rai,htx,-17,1,10,2,-4,-7,-10,-2,15,1,12,9,4,-3,7,-3,7,1,10,-7,-13,3,11,8,5,4,-6,-13,5,12,12,11,-6,0,0,-3,-3,7,-8,-11,-6,1,-11,-13,-2,-3,-1,-6,-10,-2,-10,-2,-3,4,1,-2,-3,-10,-14,4,3,0,-10,8,4,-3,-23,4,-4,-11,0,-9,7,-17,11,-17,-7,-13,-17,4
det,sea,1,8,-2,19,-17,-6,-3,-6,5,-10,-7,-10,3,-4,-1,-7,-10,-3,-3,-6,8,5,1,0,-9,-6,4,11,-8,-7,16,12,1,-3,9,-6,12,4,-9,-2,2,0,8,11,1,-20,-13,15,17,-16,-18,-9,3,-8,8,1,8,2,-3,2,-17,-17,3,1,4,-6,14,-5,-20,-14,-11,-13,13,-17,-6,0,7,-10,12,-17
pit,mia,4,1,8,4,1,-3,4,-3,1,-9,5,-16,1,-14,7,12,-9,-2,-7,4,-8,7,8,-10,20,-9,-20,11,1,-7,15,-7,5,-11,-6,-3,11,4,10,-3,-9,12,11,8,11,-10,3,0,-17,15,8,1,-9,-13,8,1,4,0,5,2,7,-8,-6,7,-16,-1,7,1,1,8,-13,-11,-3,-13,-11,-5,-9,7,1,8
gnb,nyg,8,1,15,2,7,4,15,-13,-2,-10,4,-10,1,19,2,24,3,8,9,10,3,-13,-7,7,0,-7,11,4,-9,-6,4,0,-10,-3,-15,15,7,-3,5,-16,-4,-13,-4,1,-6,-17,-13,-16,-9,1,4,-10,-1,-7,-2,-3,5,0,-6,-13,4,0,-7,0,-13,1,4,6,-7,-10,-3,-4,7,12,-6,26,12,15,8,1
atl,sea,15,9,10,-7,18,-10,19,-9,5,6,15,-4,-8,1,20,5,10,9,7,10,1,3,0,-7,25,10,22,9,12,5,1,8,-6,-3,-3,-10,0,-6,-23,15,2,0,8,11,1,-20,-13,15,17,-16,-18,-9,3,-8,8,1,8,2,-3,2,-17,-17,3,1,4,-6,14,-5,-20,-14,-11,-13,13,-17,-6,0,7,-10,12,-17
nwe,htx,12,-9,18,-20,-7,-20,7,0,3,-13,-1,-6,7,-6,1,8,18,2,4,-7,12,-6,10,-10,-23,-7,4,-23,8,1,0,-2,-13,-3,-3,3,10,-7,4,-17,-6,1,-11,-13,-2,-3,-1,-6,-10,-2,-10,-2,-3,4,1,-2,-3,-10,-14,4,3,0,-10,8,4,-3,-23,4,-4,-11,0,-9,7,-17,11,-17,-7,-13,-17,4
gnb,dal,8,1,15,2,7,4,15,-13,-2,-10,4,-10,1,19,2,24,3,8,9,10,3,-13,-7,7,0,-7,11,4,-9,-6,4,0,-10,-3,-15,15,7,-3,5,-16,-10,4,19,-2,3,-3,-16,-13,-6,-8,8,3,4,-6,12,7,12,-13,6,0,7,-7,5,-9,1,-6,8,-6,4,0,-4,-3,0,11,-17,-7,-7,-4,-16,5
kan,pit,14,4,10,-13,-6,-4,-2,-10,6,5,7,4,-6,-4,-3,-6,-4,-9,7,-9,4,-2,3,-13,-9,20,1,-20,-11,-4,10,4,0,-6,-6,-10,11,-9,-13,-20,4,1,8,4,1,-3,4,-3,1,-9,5,-16,1,-14,7,12,-9,-2,-7,4,-8,7,8,-10,20,-9,-20,11,1,-7,15,-7,5,-11,-6,-3,11,4,10,-3
gnb,atl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pit,nwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nwe,atl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kan,nwe,14,4,10,-13,-6,-4,-2,-10,6,5,7,4,-6,-4,-3,-6,-4,-9,7,-9,4,-2,3,-13,-9,20,1,-20,-11,-4,10,4,0,-6,-6,-10,11,-9,-13,-20,12,-9,18,-20,-7,-20,7,0,3,-13,-1,-6,7,-6,1,8,18,2,4,-7,12,-6,10,-10,-23,-7,4,-23,8,1,0,-2,-13,-3,-3,3,10,-7,4,-17
atl,chi,15,9,10,-7,18,-10,19,-9,5,6,15,-4,-8,1,20,5,10,9,7,10,1,3,0,-7,25,10,22,9,12,5,1,8,-6,-3,-3,-10,0,-6,-23,15,-13,15,-2,18,4,7,-6,-3,3,-17,-2,4,-7,-1,-13,13,-3,-13,-13,3,-7,-6,0,6,-6,-9,-6,8,-9,6,-9,0,-3,1,3,-2,-6,15,-2,1
nyj,buf,7,-13,-20,18,-10,11,0,-6,-13,18,-6,-1,-17,-14,0,4,8,5,1,-7,-20,5,-10,8,-6,4,-20,1,14,8,-1,0,-6,-1,3,-3,-4,-7,7,-15,-13,7,8,11,10,-10,-3,4,1,15,5,-2,-7,-11,2,8,2,18,2,5,22,-7,7,-4,-7,-23,10,-5,8,14,-16,-10,-1,-6,-7,-17,2,12,-3,0
cin,rav,4,-13,-13,-11,-3,1,0,-13,9,-9,-9,-4,-11,-7,-3,-2,4,4,8,-6,-6,12,-9,5,-1,-16,-6,6,-7,1,0,-1,1,-7,-6,-3,1,-9,-3,10,-13,4,4,8,4,3,0,7,15,-17,-4,-9,-6,4,5,-16,-2,-9,-7,1,0,4,-13,-7,4,5,-4,-6,2,-3,-10,-16,-7,1,-3,-6,-9,11,-17,12
pit,cle,4,1,8,4,1,-3,4,-3,1,-9,5,-16,1,-14,7,12,-9,-2,-7,4,-8,7,8,-10,20,-9,-20,11,1,-7,15,-7,5,-11,-6,-3,11,4,10,-3,1,4,-3,-6,-10,10,-13,0,-10,4,-14,1,-16,5,-13,12,5,8,-6,8,3,5,-10,10,-3,8,1,7,-3,2,-13,6,-11,5,-10,-6,-10,7,1,-13
det,crd,1,8,-2,19,-17,-6,-3,-6,5,-10,-7,-10,3,-4,-1,-7,-10,-3,-3,-6,8,5,1,0,-9,-6,4,11,-8,-7,16,12,1,-3,9,-6,12,4,-9,-2,21,-17,11,8,18,25,0,3,8,0,-4,15,1,7,0,-3,-3,7,-17,-17,5,-20,10,-2,-10,-6,-5,10,17,-16,-2,0,-17,13,15,-15,17,-6,0,-3
htx,jax,-6,1,-11,-13,-2,-3,-1,-6,-10,-2,-10,-2,-3,4,1,-2,-3,-10,-14,4,3,0,-10,8,4,-3,-23,4,-4,-11,0,-9,7,-17,11,-17,-7,-13,-17,4,-3,1,15,-6,-3,-2,-7,2,-13,-3,-2,5,-4,3,-2,1,-9,-4,-1,13,-7,10,-6,-7,7,4,-6,-4,-9,15,0,4,-17,7,4,15,-6,0,28,-7
oti,rai,1,-6,-6,15,-4,-6,-10,-13,4,-2,-6,1,24,2,12,20,13,-1,3,11,5,3,7,-6,-3,4,-13,-6,-7,-8,-7,2,1,7,-17,11,-7,10,-15,7,-17,1,10,2,-4,-7,-10,-2,15,1,12,9,4,-3,7,-3,7,1,10,-7,-13,3,11,8,5,4,-6,-13,5,12,12,11,-6,0,0,-3,-3,7,-8,-11
was,phi,-13,-4,18,-2,-8,3,4,-1,0,8,3,8,19,1,3,-3,4,4,-6,-3,4,-3,-7,-13,8,-3,6,4,0,4,-7,15,11,0,15,1,12,2,1,-2,4,-10,1,-4,3,4,-1,4,-9,9,-10,4,-8,3,1,-8,0,5,0,6,-2,-13,-3,4,0,1,11,-20,6,-9,6,-13,12,7,1,15,-6,17,0,-3
clt,ram,1,-3,2,10,11,-17,-6,-1,18,-13,-16,5,1,-6,8,3,-9,7,11,3,0,3,6,0,4,7,3,-1,-3,11,12,16,7,1,-5,-11,-13,-7,-7,28,-17,21,-2,-1,-20,1,-9,19,-13,3,-2,26,-13,-9,-14,-17,-13,-10,-13,-6,5,8,-4,7,-6,-10,14,9,-14,-20,-23,5,-7,-4,0,-6,8,0,-2,-9
car,sfo,-7,-6,-7,10,3,-8,5,-7,-16,17,9,12,0,-3,-6,-3,-10,-13,7,-3,15,18,-9,-6,10,25,-13,-1,23,4,-3,-2,15,-13,-10,-3,15,12,15,-23,0,2,-1,-2,-10,18,-6,0,-17,3,1,8,-6,7,-3,0,0,18,-6,11,-7,22,-2,10,-6,1,-5,14,4,23,5,-23,-4,-7,-6,9,-9,1,-13,1
sea,gnb,2,0,8,11,1,-20,-13,15,17,-16,-18,-9,3,-8,8,1,8,2,-3,2,-17,-17,3,1,4,-6,14,-5,-20,-14,-11,-13,13,-17,-6,0,7,-10,12,-17,8,1,15,2,7,4,15,-13,-2,-10,4,-10,1,19,2,24,3,8,9,10,3,-13,-7,7,0,-7,11,4,-9,-6,4,0,-10,-3,-15,15,7,-3,5,-16
dal,nyg,-10,4,19,-2,3,-3,-16,-13,-6,-8,8,3,4,-6,12,7,12,-13,6,0,7,-7,5,-9,1,-6,8,-6,4,0,-4,-3,0,11,-17,-7,-7,-4,-16,5,-4,-13,-4,1,-6,-17,-13,-16,-9,1,4,-10,-1,-7,-2,-3,5,0,-6,-13,4,0,-7,0,-13,1,4,6,-7,-10,-3,-4,7,12,-6,26,12,15,8,1
nor,min,9,15,8,1,25,18,-12,-7,-10,5,26,-2,-3,0,0,2,18,0,2,-3,-2,4,18,15,12,11,9,22,-10,-7,11,12,-3,-6,15,4,4,12,1,-6,15,-13,2,15,-17,11,2,-7,-8,-6,-10,-7,7,1,-3,3,-7,-1,-13,-3,-13,-2,8,-10,1,-13,-1,-13,-6,-9,2,-7,-3,-10,26,-6,15,-6,-3,0
sdg,den,4,14,-6,-3,-7,-4,-7,5,-2,5,-2,-10,1,8,20,12,-4,4,10,7,-2,-10,8,11,11,12,-1,3,15,-9,4,10,-3,4,-3,0,7,-9,-20,-13,1,-17,-13,10,-20,-7,-13,-10,-3,-13,4,7,2,0,-3,7,4,-4,4,-14,-10,-2,-7,0,4,-16,6,-6,11,-3,-2,-3,4,-3,-3,-6,4,11,-11,-8
htx,cin,-16,6,-6,1,-11,-13,-2,-3,-1,-6,-10,-2,-10,-2,-3,4,1,-2,-3,-10,-14,4,3,0,-10,8,4,-3,-23,4,-4,-11,0,-9,7,-17,11,-17,-7,-13,-23,-3,4,-13,-13,-11,-3,1,0,-13,9,-9,-9,-4,-11,-7,-3,-2,4,4,8,-6,-6,12,-9,5,-1,-16,-6,6,-7,1,0,-1,1,-7,-6,-3,1,-9
buf,car,-2,-11,-13,7,8,11,10,-10,-3,4,1,15,5,-2,-7,-11,2,8,2,18,2,5,22,-7,7,-4,-7,-23,10,-5,8,14,-16,-10,-1,-6,-7,-17,2,12,0,-20,-7,-6,-7,10,3,-8,5,-7,-16,17,9,12,0,-3,-6,-3,-10,-13,7,-3,15,18,-9,-6,10,25,-13,-1,23,4,-3,-2,15,-13,-10,-3,15,12
tam,chi,-6,-7,1,8,-3,3,-7,-12,5,-2,-9,-18,-4,-6,13,-13,5,20,1,7,11,-6,-6,-9,-16,4,9,14,-16,17,8,1,-13,15,-2,3,0,8,-6,1,-6,0,-13,15,-2,18,4,7,-6,-3,3,-17,-2,4,-7,-1,-13,13,-3,-13,-13,3,-7,-6,0,6,-6,-9,-6,8,-9,6,-9,0,-3,1,3,-2,-6,15
rav,cle,-3,-23,-13,4,4,8,4,3,0,7,15,-17,-4,-9,-6,4,5,-16,-2,-9,-7,1,0,4,-13,-7,4,5,-4,-6,2,-3,-10,-16,-7,1,-3,-6,-9,11,-5,-2,1,4,-3,-6,-10,10,-13,0,-10,4,-14,1,-16,5,-13,12,5,8,-6,8,3,5,-10,10,-3,8,1,7,-3,2,-13,6,-11,5,-10,-6,-10,7
crd,clt,0,12,21,-17,11,8,18,25,0,3,8,0,-4,15,1,7,0,-3,-3,7,-17,-17,5,-20,10,-2,-10,-6,-5,10,17,-16,-2,0,-17,13,15,-15,17,-6,-14,23,1,-3,2,10,11,-17,-6,-1,18,-13,-16,5,1,-6,8,3,-9,7,11,3,0,3,6,0,4,7,3,-1,-3,11,12,16,7,1,-5,-11,-13,-7
jax,oti,6,-16,-3,1,15,-6,-3,-2,-7,2,-13,-3,-2,5,-4,3,-2,1,-9,-4,-1,13,-7,10,-6,-7,7,4,-6,-4,-9,15,0,4,-17,7,4,15,-6,0,-7,3,1,-6,-6,15,-4,-6,-10,-13,4,-2,-6,1,24,2,12,20,13,-1,3,11,5,3,7,-6,-3,4,-13,-6,-7,-8,-7,2,1,7,-17,11,-7,10
phi,kan,7,-6,4,-10,1,-4,3,4,-1,4,-9,9,-10,4,-8,3,1,-8,0,5,0,6,-2,-13,-3,4,0,1,11,-20,6,-9,6,-13,12,7,1,15,-6,17,19,4,14,4,10,-13,-6,-4,-2,-10,6,5,7,4,-6,-4,-3,-6,-4,-9,7,-9,4,-2,3,-13,-9,20,1,-20,-11,-4,10,4,0,-6,-6,-10,11,-9
pit,min,-2,-5,4,1,8,4,1,-3,4,-3,1,-9,5,-16,1,-14,7,12,-9,-2,-7,4,-8,7,8,-10,20,-9,-20,11,1,-7,15,-7,5,-11,-6,-3,11,4,6,-4,15,-13,2,15,-17,11,2,-7,-8,-6,-10,-7,7,1,-3,3,-7,-1,-13,-3,-13,-2,8,-10,1,-13,-1,-13,-6,-9,2,-7,-3,-10,26,-6,15,-6
nor,nwe,-4,6,9,15,8,1,25,18,-12,-7,-10,5,26,-2,-3,0,0,2,18,0,2,-3,-2,4,18,15,12,11,9,22,-10,-7,11,12,-3,-6,15,4,4,12,4,19,12,-9,18,-20,-7,-20,7,0,3,-13,-1,-6,7,-6,1,8,18,2,4,-7,12,-6,10,-10,-23,-7,4,-23,8,1,0,-2,-13,-3,-3,3,10,-7
mia,sdg,-9,12,11,8,11,-10,3,0,-17,15,8,1,-9,-13,8,1,4,0,5,2,7,-8,-6,7,-16,-1,7,1,1,8,-13,-11,-3,-13,-11,-5,-9,7,1,8,-2,1,4,14,-6,-3,-7,-4,-7,5,-2,5,-2,-10,1,8,20,12,-4,4,10,7,-2,-10,8,11,11,12,-1,3,15,-9,4,10,-3,4,-3,0,7,-9
nyj,rai,-11,-2,7,-13,-20,18,-10,11,0,-6,-13,18,-6,-1,-17,-14,0,4,8,5,1,-7,-20,5,-10,8,-6,4,-20,1,14,8,-1,0,-6,-1,3,-3,-4,-7,3,-7,-17,1,10,2,-4,-7,-10,-2,15,1,12,9,4,-3,7,-3,7,1,10,-7,-13,3,11,8,5,4,-6,-13,5,12,12,11,-6,0,0,-3,-3,7
dal,den,-4,-20,-10,4,19,-2,3,-3,-16,-13,-6,-8,8,3,4,-6,12,7,12,-13,6,0,7,-7,5,-9,1,-6,8,-6,4,0,-4,-3,0,11,-17,-7,-7,-4,1,-2,1,-17,-13,10,-20,-7,-13,-10,-3,-13,4,7,2,0,-3,7,4,-4,4,-14,-10,-2,-7,0,4,-16,6,-6,11,-3,-2,-3,4,-3,-3,-6,4,11
ram,was,23,-14,-17,21,-2,-1,-20,1,-9,19,-13,3,-2,26,-13,-9,-14,-17,-13,-10,-13,-6,5,8,-4,7,-6,-10,14,9,-14,-20,-23,5,-7,-4,0,-6,8,0,-6,7,-13,-4,18,-2,-8,3,4,-1,0,8,3,8,19,1,3,-3,4,4,-6,-3,4,-3,-7,-13,8,-3,6,4,0,4,-7,15,11,0,15,1,12,2
sea,sfo,-14,-6,2,0,8,11,1,-20,-13,15,17,-16,-18,-9,3,-8,8,1,8,2,-3,2,-17,-17,3,1,4,-6,14,-5,-20,-14,-11,-13,13,-17,-6,0,7,-10,-20,0,0,2,-1,-2,-10,18,-6,0,-17,3,1,8,-6,7,-3,0,0,18,-6,11,-7,22,-2,10,-6,1,-5,14,4,23,5,-23,-4,-7,-6,9,-9,1
gnb,atl,-6,-14,8,1,15,2,7,4,15,-13,-2,-10,4,-10,1,19,2,24,3,8,9,10,3,-13,-7,7,0,-7,11,4,-9,-6,4,0,-10,-3,-15,15,7,-3,0,-6,15,9,10,-7,18,-10,19,-9,5,6,15,-4,-8,1,20,5,10,9,7,10,1,3,0,-7,25,10,22,9,12,5,1,8,-6,-3,-3,-10,0,-6
nyg,det,-20,-4,-4,-13,-4,1,-6,-17,-13,-16,-9,1,4,-10,-1,-7,-2,-3,5,0,-6,-13,4,0,-7,0,-13,1,4,6,-7,-10,-3,-4,7,12,-6,26,12,15,12,0,1,8,-2,19,-17,-6,-3,-6,5,-10,-7,-10,3,-4,-1,-7,-10,-3,-3,-6,8,5,1,0,-9,-6,4,11,-8,-7,16,12,1,-3,9,-6,12,4
ram,sfo,-3,4,23,-14,-17,21,-2,-1,-20,1,-9,19,-13,3,-2,26,-13,-9,-14,-17,-13,-10,-13,-6,5,8,-4,7,-6,-10,14,9,-14,-20,-23,5,-7,-4,0,-6,-14,-11,-20,0,0,2,-1,-2,-10,18,-6,0,-17,3,1,8,-6,7,-3,0,0,18,-6,11,-7,22,-2,10,-6,1,-5,14,4,23,5,-23,-4,-7,-6,9
jax,rav,-7,14,6,-16,-3,1,15,-6,-3,-2,-7,2,-13,-3,-2,5,-4,3,-2,1,-9,-4,-1,13,-7,10,-6,-7,7,4,-6,-4,-9,15,0,4,-17,7,4,15,1,-13,-3,-23,-13,4,4,8,4,3,0,7,15,-17,-4,-9,-6,4,5,-16,-2,-9,-7,1,0,4,-13,-7,4,5,-4,-6,2,-3,-10,-16,-7,1,-3,-6
mia,nyj,-4,-6,-9,12,11,8,11,-10,3,0,-17,15,8,1,-9,-13,8,1,4,0,5,2,7,-8,-6,7,-16,-1,7,1,1,8,-13,-11,-3,-13,-11,-5,-9,7,-3,22,-11,-2,7,-13,-20,18,-10,11,0,-6,-13,18,-6,-1,-17,-14,0,4,8,5,1,-7,-20,5,-10,8,-6,4,-20,1,14,8,-1,0,-6,-1,3,-3
atl,det,11,0,0,-6,15,9,10,-7,18,-10,19,-9,5,6,15,-4,-8,1,20,5,10,9,7,10,1,3,0,-7,25,10,22,9,12,5,1,8,-6,-3,-3,-10,1,-13,12,0,1,8,-2,19,-17,-6,-3,-6,5,-10,-7,-10,3,-4,-1,-7,-10,-3,-3,-6,8,5,1,0,-9,-6,4,11,-8,-7,16,12,1,-3,9,-6
den,buf,19,-6,1,-2,1,-17,-13,10,-20,-7,-13,-10,-3,-13,4,7,2,0,-3,7,4,-4,4,-14,-10,-2,-7,0,4,-16,6,-6,11,-3,-2,-3,4,-3,-3,-6,-20,-14,-2,-11,-13,7,8,11,10,-10,-3,4,1,15,5,-2,-7,-11,2,8,2,18,2,5,22,-7,7,-4,-7,-23,10,-5,8,14,-16,-10,-1,-6,-7,-17
nor,car,-3,13,-4,6,9,15,8,1,25,18,-12,-7,-10,5,26,-2,-3,0,0,2,18,0,2,-3,-2,4,18,15,12,11,9,22,-10,-7,11,12,-3,-6,15,4,-14,-20,0,-20,-7,-6,-7,10,3,-8,5,-7,-16,17,9,12,0,-3,-6,-3,-10,-13,7,-3,15,18,-9,-6,10,25,-13,-1,23,4,-3,-2,15,-13,-10,-3
chi,pit,-16,6,-6,0,-13,15,-2,18,4,7,-6,-3,3,-17,-2,4,-7,-1,-13,13,-3,-13,-13,3,-7,-6,0,6,-6,-9,-6,8,-9,6,-9,0,-3,1,3,-2,3,-14,-2,-5,4,1,8,4,1,-3,4,-3,1,-9,5,-16,1,-14,7,12,-9,-2,-7,4,-8,7,8,-10,20,-9,-20,11,1,-7,15,-7,5,-11,-6,-3
clt,cle,-10,-7,-14,23,1,-3,2,10,11,-17,-6,-1,18,-13,-16,5,1,-6,8,3,-9,7,11,3,0,3,6,0,4,7,3,-1,-3,11,12,16,7,1,-5,-11,-13,1,-5,-2,1,4,-3,-6,-10,10,-13,0,-10,4,-14,1,-16,5,-13,12,5,8,-6,8,3,5,-10,10,-3,8,1,7,-3,2,-13,6,-11,5,-10,-6
nwe,htx,13,-3,4,19,12,-9,18,-20,-7,-20,7,0,3,-13,-1,-6,7,-6,1,8,18,2,4,-7,12,-6,10,-10,-23,-7,4,-23,8,1,0,-2,-13,-3,-3,3,-10,-14,-16,6,-6,1,-11,-13,-2,-3,-1,-6,-10,-2,-10,-2,-3,4,1,-2,-3,-10,-14,4,3,0,-10,8,4,-3,-23,4,-4,-11,0,-9,7,-17,11,-17
min,tam,-14,3,6,-4,15,-13,2,15,-17,11,2,-7,-8,-6,-10,-7,7,1,-3,3,-7,-1,-13,-3,-13,-2,8,-10,1,-13,-1,-13,-6,-9,2,-7,-3,-10,26,-6,6,-16,-6,-7,1,8,-3,3,-7,-12,5,-2,-9,-18,-4,-6,13,-13,5,20,1,7,11,-6,-6,-9,-16,4,9,14,-16,17,8,1,-13,15,-2,3,0,8
phi,nyg,-3,4,7,-6,4,-10,1,-4,3,4,-1,4,-9,9,-10,4,-8,3,1,-8,0,5,0,6,-2,-13,-3,4,0,1,11,-20,6,-9,6,-13,12,7,1,15,-13,1,-20,-4,-4,-13,-4,1,-6,-17,-13,-16,-9,1,4,-10,-1,-7,-2,-3,5,0,-6,-13,4,0,-7,0,-13,1,4,6,-7,-10,-3,-4,7,12,-6,26
sea,oti,-11,-14,-14,-6,2,0,8,11,1,-20,-13,15,17,-16,-18,-9,3,-8,8,1,8,2,-3,2,-17,-17,3,1,4,-6,14,-5,-20,-14,-11,-13,13,-17,-6,0,14,-7,-7,3,1,-6,-6,15,-4,-6,-10,-13,4,-2,-6,1,24,2,12,20,13,-1,3,11,5,3,7,-6,-3,4,-13,-6,-7,-8,-7,2,1,7,-17,11
gnb,cin,0,11,-6,-14,8,1,15,2,7,4,15,-13,-2,-10,4,-10,1,19,2,24,3,8,9,10,3,-13,-7,7,0,-7,11,4,-9,-6,4,0,-10,-3,-15,15,-14,-10,-23,-3,4,-13,-13,-11,-3,1,0,-13,9,-9,-9,-4,-11,-7,-3,-2,4,4,8,-6,-6,12,-9,5,-1,-16,-6,6,-7,1,0,-1,1,-7,-6,-3
sdg,kan,-6,-4,-2,1,4,14,-6,-3,-7,-4,-7,5,-2,5,-2,-10,1,8,20,12,-4,4,10,7,-2,-10,8,11,11,12,-1,3,15,-9,4,10,-3,4,-3,0,4,-3,19,4,14,4,10,-13,-6,-4,-2,-10,6,5,7,4,-6,-4,-3,-6,-4,-9,7,-9,4,-2,3,-13,-9,20,1,-20,-11,-4,10,4,0,-6,-6,-10
rai,was,22,-3,3,-7,-17,1,10,2,-4,-7,-10,-2,15,1,12,9,4,-3,7,-3,7,1,10,-7,-13,3,11,8,5,4,-6,-13,5,12,12,11,-6,0,0,-3,4,-3,-6,7,-13,-4,18,-2,-8,3,4,-1,0,8,3,8,19,1,3,-3,4,4,-6,-3,4,-3,-7,-13,8,-3,6,4,0,4,-7,15,11,0,15,1
dal,crd,-6,19,-4,-20,-10,4,19,-2,3,-3,-16,-13,-6,-8,8,3,4,-6,12,7,12,-13,6,0,7,-7,5,-9,1,-6,8,-6,4,0,-4,-3,0,11,-17,-7,-7,-10,0,12,21,-17,11,8,18,25,0,3,8,0,-4,15,1,7,0,-3,-3,7,-17,-17,5,-20,10,-2,-10,-6,-5,10,17,-16,-2,0,-17,13,15,-15
